,Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,occurence,keywords,key_words_count
38,Development of the Motivation and Engagement in Virtual Reality Chinese Language Learning Questionnaire (MEVRCLQ),G. Chih Nuo Chao; S. Y. Jong; C. S. Chai; T. H. Luk,"Chinese University of Hong Kong, Hong Kong, China; Chinese University of Hong Kong, Hong Kong, China; Chinese University of Hong Kong, Hong Kong, China; Chinese University of Hong Kong, Hong Kong, China",2020 International Symposium on Educational Technology (ISET),7 Oct 2020,2020,,,67,72,"Motivation and engagement play a key role in students' academic achievement. With the increasing adoption of virtual reality (VR) technology in language learning in recent years, there arises an urging need to develop an instrument for assessing the influence of VR technology on students' motivation and engagement in language learning. This research aimed to construct the said instrument, namely Motivational and Engagement in Virtual Reality Chinese Language Learning Questionnaires (MEVRCLQ). With a sample of 196 Chinese secondary school students in Hong Kong, the MEVRCLQ was validated with adequate reliability in measuring students' motivation and engagement in the context of VR-assisted Chinese language learning. This is the first study of investigating the association of students' first language (L1) related learning outcomes with motivation and engagement constructs.",,978-1-7281-7189-0,10.1109/ISET49818.2020.00024,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9215494,,Writing;Instruments;Reliability;Education;Virtual reality;Three-dimensional displays;Loading,computer aided instruction;educational institutions;human factors;linguistics;natural languages;virtual reality,MEVRCLQ;VR-assisted Chinese language learning;engagement constructs;Chinese secondary school students;motivation and engagement virtual reality Chinese language learningmotivation and engagement virtual reality chinese language learning questionnaire;Hong Kong;student first language,,2.0,,44.0,IEEE,7 Oct 2020,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
10,A new approach to quantify elbow position sense using an exoskeleton and a virtual reality display,A. Deblock-Bellamy; C. S. Batcho; C. Mercier; A. K. Blanchette,"CIRRIS, Universite Laval, Quebec city, Canada; CIRRIS, Universite Laval, Quebec city, Canada; CIRRIS, Universite Laval, Quebec city, Canada; CIRRIS, Universite Laval, Quebec city, Canada",2017 International Conference on Virtual Rehabilitation (ICVR),14 Aug 2017,2017,,,1,2,"Most of the proprioception assessments commonly used are not adapted for individuals who present multiple impairments after a stroke. Indeed, these assessments require certain motor or cognitive functions that are generally affected after a stroke. We have therefore developed a protocol, combining a robotic device and a virtual reality display, that enables the assessment of position sense without requiring active movement in the evaluated arm, involving the opposite arm or relying on working memory. As a preliminary step of validation, elbow joint position sense of healthy young adults was quantified and test-retest reliability was studied. Results show that this protocol can quantify elbow position sense of healthy young adults (mean detection threshold: around 7 degrees), with a fair to good test-retest reliability.",2331-9569,978-1-5090-3053-8,10.1109/ICVR.2017.8007518,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8007518,Proprioception;assessment;reliability;robotics;virtual reality;upper limb,Reliability;Elbow;Exoskeletons;Protocols;Robot sensing systems;Virtual reality,medical robotics;patient rehabilitation;virtual reality,elbow position;exoskeleton;virtual reality display;proprioception assessments;cognitive functions;robotic device;working memory,,,,8.0,IEEE,14 Aug 2017,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
37,Design of Digital Media Virtual Display Platform Based on Virtual Reality Technology,Z. Hong-Yan,"Sichuan Vocational and Technical College, Sichuan, China","2021 International Conference on Intelligent Transportation, Big Data & Smart City (ICITBS)",3 Sep 2021,2021,,,399,402,"In order to improve the object-oriented and visual presentation ability of the digital media virtual display platform, the virtual reality technology is adopted to design the digital media virtual display platform. In the virtual reality environment, a design method of digital media virtual display platform based on multi-thread fusion scheduling and image fusion processing is proposed. The general structure model of digital media virtual display platform is constructed, the image information transmission channel model of digital media virtual display system platform is constructed by adopting serial VIX bus control technology, the basic entity object of digital media virtual display platform is constructed, and the multi-thread scheduling method is adopted for image fusion information scheduling and digital media control processing of digital media virtual display platform. The visual simulation and image processing model of digital media virtual display are constructed by using the serial channel control model, and the communication design between the system multi-channel serial port and the host computer is carried out. The software development of digital media virtual display platform is realized on MATLAB and VC++ platform. Experimental results show that the visual simulation effect of the digital media virtual display platform is good, which improves the reliability and stability of the digital media virtual display system platform and reduces the error of digital media information transmission.",,978-1-6654-4854-3,10.1109/ICITBS53129.2021.00104,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9526019,virtual reality technology;Digital media;Virtual display system;Multithread scheduling,Solid modeling;Visualization;Computational modeling;Object oriented modeling;Display systems;Virtual reality;Information processing,image fusion;multi-threading;scheduling;virtual reality,digital media virtual display system platform;virtual reality technology;object-oriented presentation ability;visual presentation ability;virtual reality environment;multithread fusion scheduling;image fusion processing;MATLAB;VC++ platform,,,,9.0,IEEE,3 Sep 2021,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
35,Peak Age of Information Analysis for Virtual Reality in Terahertz Communications,Y. Khorsandmanesh; M. J. Emadi,"Electrical Engineering Department, Amirkabir University of Technology (Tehran Polytechnic), Tehran, Iran; Electrical Engineering Department, Amirkabir University of Technology (Tehran Polytechnic), Tehran, Iran",2020 Iran Workshop on Communication and Information Theory (IWCIT),11 Aug 2020,2020,,,1,6,"Virtual Reality (VR) is one of the new promising use cases of the next generation wireless communications which requires high-throughput, low-latency, and reliable communications. For such services, the freshness of data could be measured by the age of information (AoI) metric. In this paper, we assume indoor small-cell Terahertz communications to serve VR users. Taking into account the wave propagation characteristics of the Terahertz communications and interference modeling in the small-cell networks, average peak AoI (PAoI) is investigated to analyse downlink data transmission to the VR users. Each small base station (SBS) is modeled by two M/M/1 and M/G/1 queues; One for data processing of VR data and the other for storing and transmitting information over the Terahertz channel in presence of blockage probability. Then, the average PAoI is extended to simultaneously support multi VR users with an SBS, and for a special case of large signaling bandwidth, average PAoI is also discussed. Finally, numerical results are provided to investigate the effects of signaling bandwidth, blockage probability, cell-density, and interference coverage of SBSs on the average PAoI of the considered system.",,978-1-7281-8257-5,10.1109/IWCIT50667.2020.9163486,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9163486,Peak age of information;virtual reality;queuing theory;Terahertz communications,Interference;Delays;Signal to noise ratio;Bandwidth;Propagation losses;Reliability,cellular radio;next generation networks;queueing theory;radiofrequency interference;submillimetre wave propagation;telecommunication network reliability;telecommunication signalling;terahertz waves;virtual reality;wireless channels,Virtual Reality;indoor small-cell Terahertz communications;wave propagation characteristics;interference modeling;small-cell networks;SBS;Terahertz channel;blockage probability;average PAoI;cell-density;peak age of information analysis;M/G/1 queues;M/M/1 queues;next generation wireless communications,,1.0,,19.0,IEEE,11 Aug 2020,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
50,Study and training on virtual reality technology of mine fire prevention,B. Tan; H. Zhu; W. Shi; X. Qin,"Faculty of Resources & Safety Engineering, China University of Mining and Technology, Beijing, China; Faculty of Resources & Safety Engineering, China University of Mining and Technology, Beijing, China; Faculty of Resources & Safety Engineering, China University of Mining and Technology, Beijing, China; Faculty of Resources & Safety Engineering, China University of Mining and Technology, Beijing, China",2014 9th International Conference on Computer Science & Education,16 Oct 2014,2014,,,937,940,"The operation of mine fire prevention technology has always been difficulties in the mine fire training, the authors apply virtual reality technology to the research and teaching of the mine fire prevention technology, develop a virtual simulation software, study different types of fires and fire-fighting mode in the virtual reality, illustrate the virtual operation design of the equipment and virtual assessment achievement of the equipment by using the high foam extinguisher operation as an example. Studies have shown that the virtual reality technology can be applied in the training and teaching of the mine fire prevention well, it is not only safe and reliable, but can achieve the expected training objectives, and reduce the cost greatly.",,978-1-4799-2951-1,10.1109/ICCSE.2014.6926600,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6926600,Virtual reality;mine fire prevention technology;safety training;high foam extinguisher,Fires;Encoding;Computers;Software;Software reliability;Powders,accident prevention;fires;mining;virtual reality,virtual reality technology;mine fire prevention technology;mine fire training;fire-fighting mode;high foam extinguisher operation,,1.0,,7.0,IEEE,16 Oct 2014,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
32,Application of Virtual Reality Technology in College Students' Social Anxiety Intervention Platform with C# Implementations,X. Ding; S. Shen; G. Cui; Y. Wang; J. Tan; Q. Zhong,"Shaoyang University, Shaoyang, Hunan, China; Shaoyang University, Shaoyang, Hunan, China; Shaoyang University, Shaoyang, Hunan, China; Shaoyang University, Shaoyang, Hunan, China; Shaoyang University, Shaoyang, Hunan, China; Shaoyang University, Shaoyang, Hunan, China",2022 International Conference on Applied Artificial Intelligence and Computing (ICAAIC),16 Jun 2022,2022,,,877,880,"This paper studies the construction of college students' social anxiety intervention platform based on the virtual reality technology implemented by C#. The results of an empirical study on the intervention of virtual reality technology on anxiety disorders (including specific phobias, obsessive-compulsive disorder and social anxiety) in autism spectrum disorder groups show that: the intervention effect of virtual reality technology on adult patients with specific phobias in the autism spectrum disorder group It is better than school-age children. In order to further understand the reliability and ecological validity of the test subject's assessment under the intervention of the virtual environment, a controlled experiment was used to analyze the experimental data, and the Cronbach reliability coefficient was used to determine the relationship between the self-awareness scale and the The reliability of the Social Anxiety Scale was analyzed, and the correlation and significance level of each scale were analyzed by S PS S software.",,978-1-6654-9710-7,10.1109/ICAAIC53929.2022.9793152,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9793152,Virtual Reality;College Students;Social Anxiety;Intervention Platform,Autism;Pediatrics;Correlation;Anxiety disorders;Virtual environments;Software;Software reliability,C# language;cognition;educational institutions;medical computing;medical disorders;patient treatment;psychology;virtual reality,autism spectrum disorder group;social anxiety scale;virtual reality technology;anxiety disorders;college students social anxiety intervention platform;C# implementations;obsessive-compulsive disorder;Cronbach reliability coefficient,,,,24.0,IEEE,16 Jun 2022,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
51,Immersive and non-immersive virtual reality system to learn relative motion concepts,M. Kozhevnikov; J. Gurlitt,"Department of Engineering, Norfolk State University, VA, USA; Department of Educational Science, University of Freiburg, Freiburg, Germany",2013 3rd Interdisciplinary Engineering Design Education Conference,10 Jun 2013,2013,,,168,172,"The focus of the current study is to understand the strength and limits of immersive virtual environments as a new media for learning and teaching relative motion concepts. Our results show that while training in both Immersive Virtual Environment (IVE) and Desktop (non-immersive) Virtual Environment (DVE) resulted in a significant improvement on relative motion problem solving test in general, the IVE group performed significantly better than the DVE group on solving two-dimensional relative motion problems after training in the simulations. This result supports our hypothesis that egocentric encoding of the scene in IVE (where the learner constitutes a part of a scene being immersed in it) as compared to allocentric encoding on a computer screen in DVI (where the earner is looking on the scene from “outside”) is beneficial for studying two-dimensional problems.",,978-1-4673-5112-6,10.1109/IEDEC.2013.6526781,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6526781,Virtual Environment;Educational Technology;Immersivity;Relative Motion,Computational modeling;Solid modeling;Switches;Abstracts;Reliability;Real-time systems;Virtual reality,computer aided instruction;human computer interaction;teaching;user interfaces;virtual reality,immersive virtual reality system;non immersive virtual reality system;relative motion concept learning;relative motion concept teaching;desktop virtual environment;IVE;DVE;motion problem solving test;educational technology,,2.0,,14.0,IEEE,10 Jun 2013,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
16,Virtual reality system for industrial training,Y. Liu; Q. Sun; Y. Tang; Y. Li; W. Jiang; J. Wu,"Yanshan University College of Information Science and Engineering The Key Laboratory for Computer Virtual Technology and System Integration of Hebei Province, Qinhuangdao, China; Yanshan University Yanshan University Science Park Maker Commuinty of YSU The Key Laboratory for Computer Virtual Technology and System Integration of Hebei Province, Qinhuangdao, China; Yanshan University College of Information Science and Engineering The Key Laboratory for Computer Virtual Technology and System Integration of Hebei Province, Qinhuangdao, China; Yanshan University School of mechanical engineering, Qinhuangdao, China; Yanshan University School of mechanical engineering, Qinhuangdao, China; Yanshan University College of Economics and Management, Qinhuangdao, China",2020 International Conference on Virtual Reality and Visualization (ICVRV),15 Jul 2021,2020,,,338,339,"The virtual training system is mainly aimed at practical problems such as highly training costs, much producing time, and repeated training for various dangerous production courses in the industrial manufacturing fields. This project builds a realistic virtual environment and provides a reliable visual operations for industrial production. The system includes technical support such as reproduction of real producing environment, multi- dimensional data input, demonstration of various processes, establishment of interactive feedback system, and error demonstration. The construction of this system provides a solution for the training of workers in industrial production enterprises and the improvement of industrial safety production efficiency and quality.",2375-141X,978-1-6654-0497-6,10.1109/ICVRV51359.2020.00091,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9479847,Virtual reality;virtual training;virtual manufacturing;Industrial virtual reality,Industrial training;Visualization;Virtual environments;Production;Safety;Manufacturing;Reliability,computer based training;industrial training;production engineering computing;virtual reality,multidimensional data input;industrial safety production efficiency;industrial production enterprises;interactive feedback system;technical support;reliable visual operations;realistic virtual environment;industrial manufacturing fields;dangerous production courses;training costs;virtual training system;industrial training;virtual reality system,,5.0,,4.0,IEEE,15 Jul 2021,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
17,New System to Measure Motion Motion-to-Photon Latency of Virtual Reality Head Mounted Display,H. Xun; Y. Wang; D. Weng,"Beijing Engineering Research Center of Mixed Reality and Advanced Display, Beijing Institute of Technoloqy; Beijing Engineering Research Center of Mixed Reality and Advanced Display, Beijing Institute of Technoloqy; Beijing Engineering Research Center of Mixed Reality and Advanced Display, Beijing Institute of Technoloqy",2019 IEEE International Symposium on Mixed and Augmented Reality Adjunct (ISMAR-Adjunct),9 Jan 2020,2019,,,58,62,"Head mounted display (HMD) is an important part of the virtual reality (VR) system and the main interface of virtual world. During the process of using HMD, there is a certain time gap between the user's movement and the triggered change of display, which is referred to herein as a "" Motion-to- Photon "" latency. The latency may cause cybersickness which has an adverse effect on user experience and even physical health, so it is necessary to evaluate the latency of an HMD. We propose an automated and universal HMD latency measurement system. By simulating a user's motion, we are able to measure ""Motion-to-Photon"" latency using the generated periodic signals in HMD, with accuracy and reliability confirmed by our experiments. The system is fully automatic and easy to use, and suitable for the HMD with inside-out or outside-in positioning methods. It helps to improve both the detection level of existing HMDs and the user experience. It is of guiding significance for the design and manufacture of new HMD.",,978-1-7281-4765-9,10.1109/ISMAR-Adjunct.2019.00029,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8951925,Measurement;head-mounted-display;virtual-reality;motion-to-photon-latency,Augmented reality,helmet mounted displays;human computer interaction;human factors;user experience;virtual reality,motion-to-photon latency;virtual reality head mounted display;user experience;automated HMD latency measurement system;cybersickness;human-centered computing;human computer interaction,,1.0,,16.0,IEEE,9 Jan 2020,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
57,Research on the Application of Virtual Reality Technology in the Integrated Design of Architectural Landscape,W. Han,"Jilin University of Architecture and Technology, Changchun, China",2021 Global Reliability and Prognostics and Health Management (PHM-Nanjing),24 Nov 2021,2021,,,1,7,"Due to the variability and complexity of landscape design in space and time, it is difficult to accurately express landscape design only by relying on individual hand-drawn effects and text descriptions. Based on this, the application research of virtual reality technology in the integrated design of architectural landscape is carried out. First, through the analysis of virtual reality technology, the advantages of virtual reality technology are explored in depth, and then the advantages of virtual reality technology are applied to the 3D landscape modeling design. Finally, application examples are analyzed. The results show that the entire roaming scene more truly reflects The local topography and landforms realistically simulate the local architectural landscape and restore the damaged characteristic town. The average FPS of the user roaming scene on an ordinary computer is not less than 18 frames/s, and the browsing is basically smooth.",,978-1-6654-0131-9,10.1109/PHM-Nanjing52125.2021.9613094,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9613094,virtual reality technology;architectural landscape;integrated design;application analysis,Solid modeling;Three-dimensional displays;Computational modeling;Virtual reality;Integrated design;Surfaces;Reliability engineering,architecture;user interfaces;virtual reality,integrated design;virtual reality technology;3D landscape modeling design;local architectural landscape,,,,12.0,IEEE,24 Nov 2021,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
21,A maintenance influencing factor evaluation method based on virtual reality fusion,C. Dai; S. Wu; Q. Tang; S. Liu; B. Liu,"Quality and Reliability Center, CSSC China Institute of Marine Technology & Economy, Beijing, People's Republic of China; Quality and Reliability Center, CSSC China Institute of Marine Technology & Economy, Beijing, People's Republic of China; Quality and Reliability Center, CSSC China Institute of Marine Technology & Economy, Beijing, People's Republic of China; Quality and Reliability Center, CSSC China Institute of Marine Technology & Economy, Beijing, People's Republic of China; Quality and Reliability Center, CSSC China Institute of Marine Technology & Economy, Beijing, People's Republic of China","12th International Conference on Quality, Reliability, Risk, Maintenance, and Safety Engineering (QR2MSE 2022)",28 Apr 2023,2022,2022.0,,1920,1925,"Maintainability evaluation based on virtual or entity has its own advantages. In order to evaluate the maintainability level more accurately and provide a feasible scheme for the application of digital twin technology, combined with ergonomics, the evaluation criteria of ship's visibility, accessibility and maintenance space are summarized. On this basis, a maintainability evaluation method based on the integration of virtual and real is proposed. Finally, an application case is given to prove the effectiveness of the method.",,978-1-83953-836-0,10.1049/icp.2022.3149,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10110423,,,digital twins;ergonomics;maintenance engineering;virtual reality,application case;digital twin technology;evaluation criteria;feasible scheme;maintainability evaluation method;maintainability level;maintenance influencing factor evaluation method;ship;virtual entity;virtual reality fusion,,,,,,28 Apr 2023,,,IET,IET Conferences,29,"{'virtual', 'reality'}",2
18,Reliability and Validity of a Virtual Reality-Based System for Evaluating Postural Stability,H. -W. Liang; S. -Y. Chi; B. -Y. Chen; Y. -H. Hwang,"Department of Physical Medicine and Rehabilitation, National Taiwan University Hospital, Taipei, Taiwan; Department of Physical Medicine and Rehabilitation, National Taiwan University Hospital, Taipei, Taiwan; College of Public Health, Institute of Environmental and Occupational Health Sciences, National Taiwan University, Taipei, Taiwan; Institute of Environmental and Occupational Health Sciences, National Taiwan University, Taipei, Taiwan",IEEE Transactions on Neural Systems and Rehabilitation Engineering,25 Feb 2021,2021,29.0,,85,91,"Postural stability is an important indicator of balance and is commonly evaluated in neurorehabilitation. We proposed a system based on a virtual reality (HTC Vive) system with a tracker at the lumbar area. The position data of the tracker were obtained through detection of the sensors on the tracker by the VR system. The reliability and validity of these sway parameters to measure postural stability were evaluated. Twenty healthy adults had their postural sway measured with this system and a force platform system under four stance conditions, with wideor narrow-stance and eyes open or closed. The path data from both systems were computed to obtain the following parameters: the mean distance and the mean velocity in the medial-lateral and anterior-posterior directions and the 95% confidence ellipse area. The reliability of the Vive-based sway measures was tested with intraclass correlation coefficients (ICCs). The convergent validity was tested against the center of pressure (COP) parameters from the force platform system. Finally, the discriminative validity was tested for the above four conditions. The results indicated that the Vive-based sway parameters had moderate to high reliability (ICCs: 0.56 ~ 0.90) across four conditions and correlated moderately to very highly with the COP parameters (r = 0.420 ~ 0.959). Bland-Altman plotting showed generally good agreement, with negative offset for the Vive-based sway parameters. The sway parameters obtained by the Vive-based system also discriminated well among the tasks. In conclusion, the results support this system as a simple and easy-to-use tool to evaluate postural stability with acceptable reliability and validity.",1558-0210,,10.1109/TNSRE.2020.3034876,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9245535,Biomechanics;instruments;measurement;virtual reality,Force;Reliability;Foot;Area measurement;Virtual reality;Sensor systems,biomechanics;biomedical measurement;mechanoception;neurophysiology;patient rehabilitation;virtual reality,virtual reality system;HTC Vive;VR system;force platform system;stance conditions;wideor narrow-stance;medial-lateral directions;anterior-posterior directions;Vive-based sway measures;pressure parameters;Vive-based sway parameters;COP parameters;Vive-based system;virtual reality-based system,Adult;Humans;Postural Balance;Reproducibility of Results;Virtual Reality,5.0,,26.0,CCBYNCND,30 Oct 2020,,,IEEE,IEEE Journals,29,"{'reliability', 'virtual'}",2
56,Investigating the effectiveness of virtual reality for cross-cultural competency training SIEDS 2018,M. Sheridan; B. An; D. Brown; M. Bolger; M. Epstein; F. Matteo; R. Semunegus; C. P. T. J. Daniel; C. Clarkin; G. Gringley; J. Roberts; T. Schafer,"University of Virginia, Charlottesville, VA, US; Systems and Information Engineering; University of Virginia, Charlottesville, VA, US; University of Virginia, Charlottesville, VA, US; University of Virginia, Charlottesville, VA, US; University of Virginia, Charlottesville, VA, US; University of Virginia, Charlottesville, VA, US; US Military Academy, West Point, NY, US; US Military Academy, West Point, NY, US; US Military Academy, West Point, NY, US; US Military Academy, West Point, NY, US; US Military Academy, West Point, NY, US",2018 Systems and Information Engineering Design Symposium (SIEDS),7 Jun 2018,2018,,,53,57,"With the increased globalization of private companies and the reality of operating in the complex multinational environments that modern militaries face, demonstrating cross-cultural competence has become increasingly important for many businesses and military operations. Research in this area has not yet reached a consensus as to the most effective methods of training and assessing cross-cultural competence of individuals. To meet this need, this study investigates the use of Cultural Dimension theory and the application of immersive virtual reality technology to impart cross-cultural training. Virtual reality research in other types of social interaction applications has demonstrated promising results, allowing the user to be more realistically immersed in an experience. Therefore, we hypothesize it would translate into gains in cross-cultural competence as well. This paper describes the development process of creating a virtual reality cultural training game as well as the experimental design to evaluate the efficacy of the game. Since this game targets a military audience, it is set as a joint humanitarian effort between the US Army and Chinese People's Liberation Army. The user plays the role of a U.S. officer who must collaborate with the Chinese commander to achieve pre-defined objectives. In order to validate the cultural consistency of the game, we describe the validation process and report on the cultural consistency of the scoring methodology through the use of inter-rater reliability. As a part of the experimental design, we also propose a novel methodology for evaluating incremental changes in cross-cultural competence through the use of real human interactions.",,978-1-5386-6343-1,10.1109/SIEDS.2018.8374758,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8374758,Cross-cultural competence (3C);serious games;Unity;virtual reality,Games;Cultural differences;Virtual reality;Training;Solid modeling;Reliability;Biological system modeling,computer based training;computer games;cultural aspects;military computing;virtual reality,military operations;immersive virtual reality technology;virtual reality cultural training game;cultural consistency;cultural dimension theory;cross-cultural competency training;SIEDS;joint humanitarian effort;joint humanitarian effort;US Army;Chinese People's Liberation Army;scoring methodology;interrater reliability,,3.0,,20.0,IEEE,7 Jun 2018,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
19,Feature Extraction of Color Hierarchical Structure of Indoor Space Based on Virtual Reality Technology,J. He; B. Liu,"School of road bridge and architecture, Chongqing Vocational College of Transportation, Chongqing, China; College of intelligent manufacturing and automobil, Chongqing Vocational College of Transportation, Chongqing, China",2020 IEEE International Conference on Industrial Application of Artificial Intelligence (IAAI),1 Feb 2021,2020,,,232,237,"The traditional color hierarchical structure feature extraction method needs to establish the spectrum of each color, and the processing structure is highly affected by color resolution, which affects the accuracy of feature extraction. Aiming at the above problems, research on the feature extraction method of indoor spatial color hierarchy based on virtual reality technology. The parameters of virtual space modeling are obtained from the high color resolution images, and the indoor space modeling is carried out by using virtual reality technology. Carry on spatial color correction to the established model, and detect the edge of color hierarchy, and extract the characteristics of indoor spatial color hierarchy according to the principle of clustering. The experimental results show that the feature extraction method based on virtual reality technology has the advantages of short processing time, good extraction effect and reliability.",,978-1-6654-0471-6,10.1109/IAAI51705.2020.9332899,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9332899,Virtual reality technology;Indoor space;Color hierarchy;Feature extraction,Solid modeling;Image color analysis;Image edge detection;Virtual reality;Feature extraction;Reliability;Spatial resolution,feature extraction;image colour analysis;image resolution;pattern clustering;virtual reality,high color resolution images;indoor space modeling;virtual reality;spatial color correction;indoor spatial color hierarchy;virtual space modeling;color hierarchical structure feature extraction;clustering principle,,,,14.0,IEEE,1 Feb 2021,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
55,Modeling a Virtual Reality System with Caching and Computing Capabilities at Mobile User’ Device,H. P. Cong; H. H. Tran; A. V. Trinh; T. X. Vu,"VNU-University of Engineering and Technology, Hanoi, Vietnam; VNU-University of Engineering and Technology, Hanoi, Vietnam; VNU-University of Engineering and Technology, Hanoi, Vietnam; Interdisciplinary Center for Security, Reliability and Trust, University of Luxembourg, Luxembourg",2019 6th NAFOSTED Conference on Information and Computer Science (NICS),5 Mar 2020,2019,,,393,397,"Virtual reality (VR) recently is a promising technique in both industry and academia due to its potential applications in immersive experiences including website, game, tourism, or museum. VR technique provides an amazing 3-Dimensional (3D) experiences by requiring a very high amount of elements such as images, texture, depth, focus length, etc. However, in order to apply VR technique to various devices, especially in mobiles, ultra-high transmission rate and extremely low latency are really big challenge. Considering this problem, this paper proposes a novel combination model by transforming the computing capability of VR device into an equivalent caching amount while remaining low latency and fast transmission. In addition, Classic caching models are used to computing and catching capabilities which is easily apply to multi-user models",,978-1-7281-5163-2,10.1109/NICS48868.2019.9023873,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9023873,caching;virtual reality;augmented reality;computation capability,,cache storage;mobile computing;user experience;virtual reality,VR device;caching models;multiuser models;virtual reality system;mobile user device;3-Dimensional experiences;3D experiences,,,,14.0,IEEE,5 Mar 2020,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
22,Research on College Counselor Training System Based on Computer Virtual Reality Technology,X. Zeng; L. Deng,"School of Electronic Engineering, Sichuan Vocational and Technical College, Sichuan, China; School of Electronic Engineering, Sichuan Vocational and Technical College, Sichuan, China","2022 IEEE Conference on Telecommunications, Optics and Computer Science (TOCS)",18 Jan 2023,2022,,,1323,1326,"This paper analyzes the overall design and module design of the daily management system of college counselors under the computer virtual reality technology based on the computer virtual reality technology and the needs of the counselor’s daily management system. It is believed that the daily management system of college counselors should do well in the design of user information management module, teaching management module, attendance management module, message board management module, dormitory management module, reward and punishment management module and student information management module. Secondly, this paper innovatively proposes a fuzzy evaluation method to evaluate the training performance of the instructors. The system simulation found that the application of computer virtual reality technology in students' daily safety management, students' daily learning management and students' daily life management has strong operability. The system realizes the modernization, efficiency and identification of the daily management of college counselors.",,978-1-6654-7053-7,10.1109/TOCS56154.2022.10016075,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10016075,computer;virtual reality;college counselor;training system,Training;Computer science;Safety management;Virtual reality;Reliability engineering;Optics;Information management,computer based training;educational institutions;fuzzy set theory;information management;learning management systems;teacher training;teaching;virtual reality,attendance management module;college counselor training system;computer virtual reality technology;daily learning management;daily life management;dormitory management module;fuzzy evaluation method;instructor training performance evaluation;message board management module;module design;punishment management module;student information management module;user information management module,,,,6.0,IEEE,18 Jan 2023,,,IEEE,IEEE Conferences,29,"{'virtual', 'reality'}",2
